A,B,a,b,y,z,w,x,AS,BS,deltaA,deltaB,FER,Bratio
14,10,3.014,1.675,1.278,0.629,3.71,3.295,Over-defense,Over-destroyed,0,10,Inf,1
10,15,3.824,1.857,0.908,0.785,2.928,2.023,intermediate,intermediate,6.41222677595628,13.0820563519525,1.36011579222431,0.87213709013017
12,18,2.802,1.018,1.102,1.463,2.532,3.836,intermediate,intermediate,2.01421800947867,1.90041710114703,0.629000797399252,0.105578727841502
10,15,2.186,2.333,1.011,1.648,3.119,3.495,intermediate,Over-defense,7.97851875601154,0,0,0
11,10,1.628,1.194,1.498,0.879,3.569,3.405,Over-defense,intermediate,0,2.67782672540382,Inf,0.267782672540382
16,14,1.452,1.71,1.501,1.753,2.372,3.624,Over-defense,Over-defense,0,0,NA,0
14,13,2.174,3.067,0.867,1.293,3.299,2.501,intermediate,intermediate,8.40648681418612,5.44862055177929,0.698002071413057,0.419124657829176
10,13,3.448,3.337,0.864,0.694,2.016,2.106,Over-destroyed,intermediate,10,12.0883190883191,0.929870699101468,0.929870699101468
9,14,3.8,3.055,0.814,1.41,2.748,2.705,Over-destroyed,intermediate,9,5.3456561922366,0.381832585159757,0.381832585159757
12,13,1.658,3.689,0.905,1.768,3.722,3.71,intermediate,Over-defense,9.96695325094035,0,0,0
14,16,1.564,3.472,1.392,0.714,3.804,2.337,intermediate,intermediate,9.48054679284963,4.48095849379546,0.413566724340012,0.280059905862217
12,14,2.039,2.374,1.853,1.125,3.898,2.415,intermediate,intermediate,2.82195997947666,3.60993788819876,1.0964834718077,0.257852706299911
14,9,1.229,2.145,1.701,1.522,3.636,3.636,Over-defense,intermediate,0,0.964796479647966,Inf,0.107199608849774
17,11,1.869,3.8,1.748,0.832,2.055,3.785,intermediate,intermediate,5.88029197080292,5.97648612945839,1.57073623222766,0.543316920859854
11,17,3.63,3.695,1.337,1.457,2.967,2.387,Over-destroyed,intermediate,11,6.35148722245496,0.373616895438527,0.373616895438527
10,18,2.568,2.744,0.705,1.428,3.382,2.196,Over-destroyed,Over-defense,10,0,0,0
11,16,2.685,3.877,1.771,1.163,2.755,3.108,Over-destroyed,intermediate,11,3.51576576576577,0.21973536036036,0.21973536036036
10,9,2.25,3.26,0.526,0.978,2.552,2.959,intermediate,intermediate,9.43573667711599,4.62926664413653,0.545122207264509,0.514362960459615
16,11,2.978,1.74,1.419,1.853,2.329,3.843,Over-defense,intermediate,0,7.09471766848816,Inf,0.644974333498924
13,17,3.513,3.389,1.812,1.384,3.812,2.552,intermediate,intermediate,8.93415529905561,8.67594043887147,0.742604361181194,0.510349437580675
15,17,1.434,3.548,1.386,1.439,2.341,2.497,Over-destroyed,Over-defense,15,0,0,0
18,11,1.411,3.577,1.48,0.87,2.188,3.507,intermediate,intermediate,5.80758683729433,4.51325919589393,1.27166987538069,0.410296290535812
10,9,1.129,1.129,1.172,1.049,3.836,3.808,Over-defense,intermediate,0,0.485556722689076,Inf,0.0539507469654529
15,15,3.988,2.503,1.014,0.57,3.914,3.628,intermediate,intermediate,5.70643842616249,14.1317530319735,2.47645763900356,0.942116868798236
17,12,3.29,3.419,1.75,0.776,2.56,3.961,intermediate,intermediate,4.40546875,11.7692501893461,3.78463799905674,0.980770849112177
10,14,1.681,2.209,1.994,0.946,3.969,3.585,intermediate,intermediate,2.76795162509448,0.994700139470015,0.256688048006325,0.0710500099621439
13,17,1.928,1.599,1.665,1.348,3.331,3.883,intermediate,intermediate,1.66256379465626,0.553180530517641,0.254438600822185,0.0325400312069201
12,10,3.207,2.186,0.823,0.976,3.198,2.579,intermediate,Over-destroyed,3.7473420888055,10,3.2022696929239,1
12,17,3.636,3.841,1.918,1.733,2.763,2.65,Over-destroyed,intermediate,12,5.34754716981132,0.314561598224195,0.314561598224195
9,18,3.043,3.613,1.122,1.777,2.098,2.932,Over-destroyed,Over-defense,9,0,0,0
18,18,3.407,2.38,1.137,1.742,3.088,2.38,intermediate,intermediate,7.24546632124352,12.5924369747899,1.73797467498665,0.699579831932773
15,14,1.646,2.943,1.398,1.715,3.327,2.904,intermediate,intermediate,6.08115419296664,0.234159779614324,0.0412562270577474,0.0167256985438803
16,11,1.669,2.579,1.29,1.24,3.425,2.258,intermediate,intermediate,2.25664233576642,5.78565101860053,3.72920965689209,0.52596827441823
17,10,2.744,1.288,1.319,1.448,2.481,2.305,Over-defense,Over-destroyed,0,10,Inf,1
14,9,2.879,3.372,1.783,0.703,3.061,2.681,intermediate,Over-destroyed,1.75955570075139,9,7.95655402896398,1
14,14,2.609,2.996,1.859,1.51,2.896,3.327,intermediate,intermediate,5.49654696132597,4.62458671475804,0.8413621765259,0.330327622482717
17,17,3.736,3.566,1.756,0.676,2.094,2.313,intermediate,Over-destroyed,14.694364851958,17,1.15690607734807,1
11,15,3.272,1.088,1.695,1.099,2.716,3.35,Over-defense,intermediate,0,5.82298507462686,Inf,0.388199004975124
18,17,1.282,2.99,1.031,1.839,2.669,2.779,intermediate,Over-defense,12.0914200074934,0,0,0
10,17,1.91,2.755,0.799,1.783,2.399,2.798,Over-destroyed,Over-defense,10,0,0,0
14,13,1.517,3.231,0.711,1.668,3.843,2.877,intermediate,Over-defense,8.33957845433255,0,0,0
18,18,2.738,2.961,1.815,1.762,3.82,3.1,intermediate,intermediate,5.4,5.66709677419355,1.0494623655914,0.314838709677419
9,18,3.912,3.395,1.375,1.571,2.262,3.589,Over-destroyed,intermediate,9,1.93089997213709,0.107272220674283,0.107272220674283
15,14,2.703,3.143,1.571,1.592,2.462,2.446,intermediate,intermediate,8.30097481722177,7.46402289452167,0.963400993627403,0.533144492465833
13,11,3.278,2.168,1.193,1.583,3.859,3.898,intermediate,intermediate,2.16092251878725,6.46511031298101,3.5357977201465,0.587737301180092
11,11,1.088,1.798,1.152,1.786,2.595,2.235,intermediate,Over-defense,2.7383429672447,0,0,0
15,16,3.331,1.886,1.348,1.043,3.554,3.648,intermediate,intermediate,2.80135059088351,9.12198464912281,3.05276341932463,0.570124040570175
10,11,1.98,2.849,1.281,0.738,2.008,2.368,intermediate,intermediate,9.22758964143426,4.93327702702703,0.486020452964163,0.44847972972973
16,13,1.44,1.957,0.899,0.876,3.734,2.18,intermediate,intermediate,2.96116764863417,5.34495412844037,2.22155779805025,0.411150317572336
16,11,1.387,3.642,1.965,0.817,3.362,2.767,intermediate,intermediate,2.56454491374182,4.77231658836285,2.7067380898886,0.433846962578441
9,16,3.119,1.464,1.566,1.748,2.579,3.965,intermediate,intermediate,3.61768127181078,0.0259773013871378,0.00403911537042374,0.00162358133669612
15,12,2.204,3.618,1.877,0.92,3.139,2.732,intermediate,intermediate,4.8617394074546,8.06002928257687,2.07231111313223,0.671669106881406
10,10,1.575,2.321,0.644,1.683,3.789,2.114,intermediate,Over-defense,4.42596991290578,0,0,0
17,11,3.618,3.607,0.846,0.547,2.798,3.444,intermediate,Over-destroyed,9.04038598999285,11,1.88045068195296,1
10,10,1.781,2.35,1.078,1.621,3.867,3.092,intermediate,intermediate,3.28937160589604,0.517464424320827,0.157314066733384,0.0517464424320827
9,18,2.521,2.691,1.09,1.891,2.474,2.599,Over-destroyed,Over-defense,9,0,0,0
17,11,3.307,1.358,0.788,1.055,2.082,2.986,intermediate,Over-destroyed,0.740634005763689,11,22.9533073929961,1
17,11,3.742,2.697,0.887,1.166,3.186,3.166,intermediate,Over-destroyed,4.57878217200251,11,3.71277762544557,1
16,14,3.125,3.02,1.674,0.843,3.076,2.157,intermediate,Over-destroyed,5.03771131339402,14,3.17604543107899,1
13,13,2.597,2.902,1.709,1.102,2.517,3.018,intermediate,intermediate,6.16170043702821,6.43969516235918,1.04511655965298,0.495361166335322
14,18,2.955,1.159,0.82,1.422,2.384,3.198,intermediate,intermediate,3.93540268456376,4.93245778611632,0.974831894818792,0.274025432562018
13,11,2.585,2.491,1.786,1.533,3.503,3.425,intermediate,intermediate,1.19411932629175,4.88817518248175,4.83781995599149,0.444379562043796
10,10,3.489,3.043,0.653,1.903,3.808,3.284,intermediate,intermediate,6.27626050420168,4.82947624847747,0.769483077581682,0.482947624847747
17,12,1.793,2.016,1.58,0.961,3.675,2.344,Over-defense,intermediate,0,8.08404436860068,Inf,0.673670364050057
18,14,3.648,3.342,1.454,0.688,2.074,3.55,intermediate,Over-destroyed,9.94021215043395,14,1.81082654249127,1
16,16,1.235,2.344,0.738,1.61,2.121,2.896,intermediate,Over-defense,12.1150400754361,0,0,0
9,15,3.654,1.98,0.6,1.985,2.72,2.689,intermediate,intermediate,8.93382352941176,1.15693566381554,0.0777003705081056,0.0771290442543695
14,10,3.401,3.237,1.254,0.617,3.335,3.483,intermediate,Over-destroyed,4.44197901049475,10,3.15174834615904,1
10,15,2.526,1.205,0.582,0.603,3.883,2.067,intermediate,intermediate,3.15606489827453,7.84470246734397,1.65706403811759,0.522980164489598
16,12,2.967,1.687,1.522,1.357,2.419,3.734,Over-defense,intermediate,0,8.35243706480986,Inf,0.696036422067488
12,12,1.822,1.059,1.401,1.025,2.266,2.834,Over-defense,intermediate,0,3.37473535638673,Inf,0.281227946365561
13,18,3.436,1.945,0.503,1.284,2.145,2.129,Over-destroyed,intermediate,13,10.1249412869892,0.562496738166066,0.562496738166066
16,14,3.037,3.09,1.818,0.896,2.09,2.528,intermediate,Over-destroyed,6.78086124401914,14,2.35958227490827,1
16,14,2.104,1.611,1.169,1.501,2.102,2.564,intermediate,intermediate,1.83158896289248,4.93369734789392,3.07848069024802,0.352406953420994
11,18,3.83,1.552,0.802,1.724,3.62,2.458,intermediate,intermediate,5.28011049723757,4.51505288852726,0.522564629826757,0.250836271584848
17,16,3.935,1.546,0.893,1.524,3.738,3.065,intermediate,intermediate,2.5561797752809,13.8698205546493,5.76512046680888,0.866863784665579
16,11,2.644,2.796,0.852,1.48,3.593,2.047,intermediate,Over-destroyed,4.76593376008906,11,3.35715954216305,1
14,9,3.025,2.626,1.962,0.644,3.342,2.638,Over-defense,Over-destroyed,0,9,Inf,1
11,14,3.959,3.83,1.483,1.237,3.452,2.204,intermediate,intermediate,10.8073580533024,11.9015426497278,0.865263465484192,0.850110189266269
12,17,1.54,2.509,1.41,0.612,3.346,3.667,intermediate,intermediate,7.69067543335326,2.2023452413417,0.20214045624719,0.129549720078923
12,12,3.607,2.614,1.463,1.287,2.235,2.943,intermediate,intermediate,6.17986577181208,9.45973496432212,1.53073469774543,0.788311247026844
15,17,2.391,3.119,1.721,1.624,2.297,3.8,intermediate,intermediate,11.845015237266,2.17289473684211,0.161862186203657,0.1278173374613
9,9,3.613,3.284,1.243,0.523,3.174,3.581,intermediate,intermediate,5.78733459357278,7.76598715442614,1.34189358311005,0.862887461602904
10,15,1.487,3.859,1.389,1.067,3.573,2.434,Over-destroyed,Over-defense,10,0,0,0
11,16,1.922,3.008,0.929,1.216,3.605,2.2,intermediate,intermediate,10.5156726768377,0.766363636363636,0.0501037847213063,0.0478977272727273
11,10,1.059,3.753,0.529,1.736,3.084,3.793,intermediate,Over-defense,10.2824254215305,0,0,0
11,13,3.002,1.528,0.523,0.626,3.288,3.616,intermediate,intermediate,4.29166666666667,6.88163716814159,1.35679776877474,0.529356705241661
9,15,2.456,2.984,1.416,1.516,3.354,2.603,Over-destroyed,Over-defense,9,0,0,0
12,10,3.865,3.307,0.858,1.994,3.17,3.597,intermediate,intermediate,7.18422712933754,7.35056991937726,1.22778466555331,0.735056991937726
12,14,2.785,2.256,1.795,1.128,3.953,3.315,intermediate,intermediate,2.5408550467999,5.31764705882353,1.79387769444696,0.379831932773109
11,15,1.352,1.505,1.745,1.771,3.726,3.796,intermediate,Over-defense,0.907139023081052,0,0,0
17,17,1.481,1.434,1.839,1.56,2.528,2.975,Over-defense,Over-defense,0,0,NA,0
12,10,3.683,3.571,1.601,1.002,3.393,2.994,intermediate,Over-destroyed,4.8623636899499,10,2.46793550733422,1
15,14,2.115,2.115,1.83,0.67,2.227,3.479,intermediate,intermediate,0.969914683430624,6.42282265018684,7.09505260018159,0.458773046441917
13,14,1.294,1.84,1.633,0.72,3.949,3.656,intermediate,intermediate,1.14737908331223,1.84409190371991,1.49241961820584,0.131720850265708
11,12,3.994,3.9,1.442,1.536,2.47,3.268,Over-destroyed,intermediate,11,7.80354957160343,0.650295797633619,0.650295797633619
14,13,1.963,2.802,1.524,0.89,2.912,2.912,intermediate,intermediate,5.1820054945055,5.46428571428571,1.13558648111332,0.42032967032967
14,13,3.818,1.364,0.591,0.588,3.303,3.025,intermediate,Over-destroyed,2.86345746291251,13,4.88919433283992,1
9,12,3.9,2.732,1.466,1.366,2.939,3.127,intermediate,intermediate,6.6655324940456,5.98273105212664,0.673171767312411,0.498560921010553
18,10,2.127,2.151,0.714,0.861,3.523,2.544,intermediate,Over-destroyed,2.45756457564576,10,7.32432432432433,1
17,12,1.047,3.671,1.95,1.034,3.264,2.364,intermediate,intermediate,3.34007352941177,2.28045685279188,0.967238349597289,0.19003807106599
17,16,1.534,3.542,0.735,0.905,2.697,2.274,intermediate,intermediate,16.3800519095291,5.10026385224274,0.330831084842618,0.318766490765171
10,11,3.554,1.106,1.777,0.943,3.977,2.352,Over-defense,intermediate,0,10.7002551020408,Inf,0.972750463821892
18,14,2.591,1.793,0.808,1.469,3.519,3.781,intermediate,intermediate,3.00028417163967,6.89553028299392,2.95494736006143,0.492537877356708
9,12,1.035,2.127,0.547,1.727,2.751,2.423,intermediate,Over-defense,7.48854961832061,0,0,0
13,10,3.524,1.722,1.246,1.064,2.838,3.382,intermediate,Over-destroyed,0.360112755461592,10,36.0998043052838,1
10,14,1.863,3.847,1.774,1.105,2.564,3.671,Over-destroyed,intermediate,10,0.860800871697085,0.0614857765497918,0.0614857765497918
13,13,2.262,2.767,1.736,0.932,2.047,3.871,intermediate,intermediate,6.5476306790425,4.46654611211573,0.682162194396845,0.343580470162749
17,17,1.276,2.268,1.718,1.328,2.998,3.879,intermediate,Over-defense,3.1187458305537,0,0,0
10,12,1.546,1.575,1.005,1.847,3.91,2.556,intermediate,Over-defense,2.26342710997442,0,0,0
9,12,3.753,2.438,0.782,1.037,2.791,2.207,intermediate,intermediate,7.96058760300967,9.66606252831899,0.910679871608773,0.805505210693249
18,15,3.072,1.769,0.776,1.442,2.368,3.256,intermediate,intermediate,5.30701013513514,10.3396805896806,2.33796740380651,0.689312039312039
9,17,3.16,2.356,1.457,1.222,2.07,2.982,Over-destroyed,intermediate,9,2.57075788061704,0.151221051801002,0.151221051801002
17,11,1.904,1.904,0.911,0.685,3.096,2.172,intermediate,Over-destroyed,1.76259689922481,11,9.64485981308411,1
17,18,3.46,1.646,0.565,1.953,2.02,3.937,intermediate,intermediate,9.91237623762376,6.01117602235204,0.572740749825393,0.333954223464002
14,9,1.053,1.335,1.34,1.721,3.386,2.826,Over-defense,Over-defense,0,0,NA,0
12,14,1.605,2.297,1.874,1.331,3.319,2.857,intermediate,intermediate,2.91352817113588,0.219110955547777,0.0644611548054132,0.0156507825391269
16,16,2.28,3.977,1.36,1.95,2.344,2.294,Over-destroyed,intermediate,16,2.30165649520488,0.143853530950305,0.143853530950305
18,15,1.886,2.274,1.563,1.378,3.926,2.074,intermediate,intermediate,1.52215995924605,6.40212150433944,5.04713434257764,0.426808100289296
15,10,2.867,2.104,1.507,0.667,2.184,3.605,Over-defense,Over-destroyed,0,10,Inf,1
14,14,2.386,2.068,0.876,0.955,3.131,3.851,intermediate,intermediate,5.3299265410412,5.20228512074786,0.976051936305222,0.371591794339133
17,14,1.787,3.812,1.378,1.278,2.963,2.317,intermediate,intermediate,10.1052986837665,5.38929650410013,0.647595480328701,0.384949750292866
14,17,2.679,3.249,1.624,0.802,3.699,2.008,intermediate,intermediate,8.78534739118681,11.8884462151394,1.11441069799603,0.699320365596438
14,13,1.71,2.532,1.909,1.172,3.667,3.812,intermediate,intermediate,1.68802836105809,2.28331584470094,1.45670273189086,0.175639680361611
11,18,3.501,1.939,0.882,1.26,2.932,4,intermediate,intermediate,8.59481582537517,3.95775,0.281405099206349,0.219875
16,14,3.202,2.656,0.691,0.744,2.975,2.391,intermediate,Over-destroyed,8.78252100840336,14,1.82180036742192,1
10,9,2.004,3.742,0.579,0.691,2.196,2.814,Over-destroyed,intermediate,10,4.91151385927505,0.545723762141673,0.545723762141673
13,16,2.826,1.1,0.849,1.392,2.556,2.56,intermediate,intermediate,2.56768388106416,5.65078125,1.78809385356354,0.353173828125
15,13,3.947,1.352,1.677,1.096,3.781,2.736,Over-defense,Over-destroyed,0,13,Inf,1
14,9,1.211,3.125,0.588,0.679,2.2,2.74,intermediate,intermediate,9.04227272727273,3.95729927007299,0.680780048360105,0.439699918896999
11,11,3.507,3.266,1.797,0.908,2.286,3.663,intermediate,intermediate,7.06867891513561,7.8048048048048,1.1041391041391,0.709527709527709
14,10,1.065,2.973,1.724,1.486,2.583,2.928,intermediate,intermediate,2.16569879984514,0.0170765027322407,0.0110389791169698,0.00170765027322407
12,9,2.315,3.037,0.767,0.632,3.307,2.395,intermediate,Over-destroyed,5.48200786211067,9,2.18897898394837,1
13,10,3.184,1.587,1.689,1.495,3.065,2.935,Over-defense,intermediate,0,9.00919931856899,Inf,0.900919931856899
15,12,1.264,2.855,1.428,1.868,2.971,2.176,intermediate,Over-defense,4.32177717940087,0,0,0
12,17,1.728,1.117,0.926,1.137,3.245,3.432,intermediate,intermediate,2.42742681047766,0.409965034965035,0.119215575215545,0.0241155902920609
13,9,1.47,2.544,0.679,0.855,3.777,3.143,intermediate,intermediate,3.72491395287265,3.63188036907413,1.40836794845965,0.403542263230459
10,15,2.063,3.935,1.249,1.254,2.959,2.333,Over-destroyed,intermediate,10,0.780111444492072,0.0520074296328048,0.0520074296328048
9,17,3.342,4,1.049,1.304,3.683,2.806,Over-destroyed,intermediate,9,2.81895937277263,0.165821139574861,0.165821139574861
18,18,2.157,1.094,0.984,1.941,3.159,3.816,intermediate,intermediate,0.626780626780627,1.0188679245283,1.62555746140652,0.0566037735849056
16,18,1.023,1.869,1.257,1.483,2.861,2.955,intermediate,Over-defense,4.72911569381335,0,0,0
14,17,3.847,1.006,0.726,0.541,2.908,3.554,intermediate,intermediate,2.38583218707015,12.5664040517726,4.33760739453452,0.739200238339568
9,16,2.421,3.765,1.069,1.589,3.256,3.323,Over-destroyed,Over-defense,9,0,0,0
18,16,1.164,1.047,0.661,1.674,3.89,2.329,intermediate,Over-defense,1.24781491002571,0,0,0
18,16,2.227,3.583,0.597,1.334,3.53,3.804,intermediate,intermediate,13.1960339943343,4.92691903259727,0.420034073423251,0.307932439537329
15,13,1.751,1.663,1.668,1.93,2.575,2.595,Over-defense,intermediate,0,0.452793834296723,Inf,0.0348302949459018
17,14,1.153,2.785,0.708,1.815,2.767,3.499,intermediate,Over-defense,9.74123599566317,0,0,0
13,13,1.423,2.11,1.196,1.084,3.022,2.618,intermediate,intermediate,3.93183322303111,1.68334606569901,0.428132621658172,0.129488158899924
12,15,1.194,3.853,1.093,1.982,2.313,3.644,Over-destroyed,Over-defense,12,0,0,0
11,14,3.114,3.436,0.791,1.718,3.613,3.761,intermediate,intermediate,10.9058953778024,2.71257644243552,0.195427334306878,0.193755460173966
9,18,1.159,1.975,1.096,0.509,3.025,3.436,intermediate,intermediate,8.49123966942149,0.369324796274738,0.0217474014780636,0.0205180442374855
18,14,2.38,2.456,1.765,1.548,2.99,2.098,intermediate,intermediate,0.874247491638796,10.0896091515729,14.8383092288134,0.720686367969495
11,14,3.366,2.926,0.917,1.974,2.387,3.386,Over-destroyed,intermediate,11,2.77318369757826,0.198084549827019,0.198084549827019
10,11,2.573,2.427,0.829,1.058,3.965,3.91,intermediate,intermediate,4.64237074401009,3.60409207161125,0.705770288177848,0.327644733782841
18,17,2.092,2.644,1.554,0.741,3.068,3.303,intermediate,intermediate,5.53324641460235,7.58673932788374,1.45177306593063,0.446278783993161
16,11,1.622,2.521,1.134,1.821,3.922,3.863,intermediate,intermediate,2.44441611422743,1.5327465700233,0.912058116218952,0.139340597274845
11,10,2.755,3.213,0.559,1.607,3.162,2.787,intermediate,intermediate,8.21663504111322,5.10764262648009,0.683784403349487,0.510764262648009
12,18,3.836,3.701,0.729,1.886,3.616,3.988,Over-destroyed,intermediate,12,3.03009027081244,0.168338348378469,0.168338348378469
15,10,1.1,1.029,1.545,1.436,2.446,2.278,Over-defense,intermediate,0,0.939420544337138,Inf,0.0939420544337138
17,12,3.759,1.787,1.067,0.926,3.135,2.978,intermediate,Over-destroyed,1.05422647527911,12,16.125567322239,1
12,18,2.914,1.569,0.72,0.512,3.64,3.037,intermediate,intermediate,5.38516483516483,8.47942048073757,1.04972589701339,0.471078915596532
15,17,1.299,2.157,0.647,0.562,2.712,2.654,intermediate,intermediate,9.94247787610619,3.74189902034665,0.332077742322446,0.220111707079214
10,14,3.577,3.225,0.843,0.779,2.642,3.276,Over-destroyed,intermediate,10,7.58974358974359,0.542124542124542,0.542124542124542
13,14,2.01,1.781,0.723,1.155,3.597,3.135,intermediate,intermediate,4.31887684181262,3.17703349282296,0.683071695976342,0.226930963773069
17,18,2.468,1.329,0.717,1.407,2.309,3.675,intermediate,intermediate,5.08142052836726,4.52517006802721,0.841058461321213,0.251398337112623
11,15,2.274,2.673,0.57,0.823,2.466,2.403,Over-destroyed,intermediate,11,5.27215980024969,0.351477320016646,0.351477320016646
13,17,3.659,2.227,0.755,0.532,3.879,3.957,intermediate,intermediate,7.22969837587007,9.73540561031084,1.02974170570437,0.572670918253579
18,14,2.292,2.01,0.952,0.885,3.209,3.237,intermediate,intermediate,3.42910564038641,8.91751621872104,3.34354761791663,0.63696544419436
10,15,2.726,3.325,1.043,0.62,2.211,3.389,Over-destroyed,intermediate,10,5.29949837710239,0.353299891806826,0.353299891806826
17,16,3.841,3.166,0.97,1.962,2.935,2.454,intermediate,intermediate,11.6408858603066,13.8162184189079,1.26104939488711,0.863513651181744
9,10,1.857,1.751,0.67,1.419,3.773,3.683,intermediate,intermediate,3.04267161410018,0.68503937007874,0.202629633186096,0.068503937007874
16,12,2.984,3.202,1.21,1.651,2.849,3.319,intermediate,intermediate,6.69147069147069,8.41578788791805,1.67691842863887,0.701315657326504
13,14,2.973,3.706,1.982,1.325,2.403,3.753,intermediate,intermediate,10.8689138576779,5.35544897415401,0.457535773094629,0.382532069582429
10,13,2.08,3.53,1.263,0.641,3.182,2.262,Over-destroyed,intermediate,10,5.51149425287356,0.42396109637489,0.42396109637489
11,12,1.094,3.554,1.146,0.568,3.992,3.476,intermediate,intermediate,7.52555110220441,1.50115074798619,0.182851040891556,0.125095895665516
14,18,1.611,2.28,1.064,1.595,2.219,3.632,intermediate,Over-defense,11.7818837314105,0,0,0
18,14,1.798,3.941,0.732,1.445,2.677,2.92,intermediate,intermediate,15.6884572282406,4.1554794520548,0.340553517644909,0.296819960861057
9,9,3.971,1.241,1.604,1.662,3.906,3.491,Over-defense,intermediate,0,5.9527356058436,Inf,0.661415067315955
18,11,1.975,3.031,0.623,1.061,3.033,3.151,intermediate,intermediate,7.29541707879987,7.57822913360838,1.69979844172367,0.688929921237125
16,16,2.614,2.086,1.116,1.492,2.759,3.076,intermediate,intermediate,5.62522653135194,5.83615084525358,1.03749614575094,0.364759427828348
9,9,1.558,3.483,1.953,1.205,3.041,3.37,intermediate,intermediate,4.52811575139757,0.942729970326409,0.208194759605128,0.104747774480712
10,16,2.133,1.27,0.629,1.031,2.333,2.72,intermediate,intermediate,6.01371624517788,1.77720588235294,0.184703373286235,0.111075367647059
18,17,3.36,1.951,1.298,0.934,3.053,3.311,intermediate,intermediate,3.2109400589584,13.4708547266687,4.4420816595721,0.792403219215805
10,12,3.155,3.789,0.62,1.246,3.202,2.971,Over-destroyed,intermediate,10,5.58667115449344,0.46555592954112,0.46555592954112
18,16,3.519,2.391,1.128,1.017,3.855,2.039,intermediate,Over-destroyed,4.6568093385214,16,3.86530748663102,1
10,14,1.523,2.045,1.645,0.917,3.75,2.341,intermediate,intermediate,3.248,1.02178556172576,0.224706536269739,0.0729846829804112
18,18,3.178,2.08,0.673,1.199,3.115,2.149,intermediate,intermediate,8.13033707865168,16.5760818985575,2.03879393169101,0.920893438808748
17,9,1.599,2.526,0.7,0.755,3.284,2.321,intermediate,intermediate,3.29902557856273,8.78414476518742,5.02944674123524,0.976016085020824
18,16,3.548,2.55,0.996,0.996,3.589,2.845,intermediate,Over-destroyed,6.37280579548621,16,2.82450157397692,1
10,12,2.462,2.638,1.451,0.952,2.665,2.818,intermediate,intermediate,6.43377110694184,4.68275372604684,0.606533043660078,0.39022947717057
9,12,1.018,3.795,1.284,1.897,3.01,2.517,Over-destroyed,Over-defense,9,0,0,0
12,10,1.311,2.409,1.366,0.55,3.93,3.777,intermediate,intermediate,1.9587786259542,2.70902832936193,1.65962296716951,0.270902832936193
10,12,2.339,1.851,1.739,1.795,3.472,3.057,intermediate,intermediate,1.38882488479263,0.60516846581616,0.363117813029467,0.05043070548468
11,12,3.249,1.916,1.548,1.909,3.652,3.209,intermediate,intermediate,1.63307776560789,3.9984418822063,2.24437468270723,0.333203490183858
9,11,2.896,2.022,1.448,0.782,2.524,3.264,intermediate,intermediate,3.64896988906498,5.34987745098039,1.19956387500218,0.486352495543672
14,13,1.041,2.309,0.635,1.21,3.037,3.068,intermediate,Over-defense,6.95653605531775,0,0,0
18,18,1.364,2.568,0.55,2,3.456,3.569,intermediate,Over-defense,10.5104166666667,0,0,0
11,12,1.898,2.937,0.949,1.947,2.137,3.288,Over-destroyed,Over-defense,11,0,0,0
18,14,2.303,2.949,0.805,1.519,3.018,3.245,intermediate,intermediate,8.87872763419483,6.22126348228043,0.900891170887452,0.444375963020031
13,11,2.72,1.282,0.896,0.535,3.241,3.757,intermediate,intermediate,0.757173711817341,7.84535533670482,12.2452528858778,0.71321412151862
10,18,1.986,2.879,1.363,1.659,2.544,2.07,Over-destroyed,Over-defense,10,0,0,0
11,16,3.008,2.303,1.325,0.761,2.986,2.059,intermediate,intermediate,7.45914266577361,10.1563865954347,0.936101653666006,0.634774162214667
13,9,3.472,1.223,0.659,1.598,2.153,3.953,intermediate,intermediate,1.13330236878774,7.77991398937516,9.91584757052009,0.864434887708351
9,15,3.067,3.924,0.741,1.477,3.409,2.485,Over-destroyed,intermediate,9,2.19235412474849,0.146156941649899,0.146156941649899
10,10,1.957,1.188,1.856,1.856,2.321,3.464,Over-defense,intermediate,0,0.291570438799076,Inf,0.0291570438799076
18,18,3.096,1.628,1.539,0.526,2.857,3.542,intermediate,intermediate,0.56072803640182,13.0604178430265,23.2918937437745,0.72557876905703
15,15,2.321,1.487,1.489,1.574,3.988,2.117,Over-defense,intermediate,0,5.29286726499764,Inf,0.352857817666509
13,11,2.902,3.014,1.046,1.88,2.458,2.25,intermediate,intermediate,7.95606183889341,7.576,1.12536261365961,0.688727272727273
15,11,2.239,1.164,1.219,1.152,3.656,2.164,Over-defense,intermediate,0,9.66404805914972,Inf,0.878549823559066
11,15,1.845,3.771,0.923,1.615,2.904,2.708,Over-destroyed,Over-defense,11,0,0,0
12,14,2.773,3.072,1.181,0.791,2.654,2.145,intermediate,intermediate,10.8651092690279,10.3505827505828,0.816552125915422,0.73932733932734
17,15,2.362,2.896,1.307,0.6,3.824,2.02,intermediate,Over-destroyed,5.54942468619247,15,3.06338061354319,1
13,10,2.55,3.718,1.075,1.627,3.213,3.832,intermediate,intermediate,7.22222222222222,4.40501043841336,0.792901878914405,0.440501043841336
16,17,1.082,3.624,0.981,1.58,2.16,2.438,Over-destroyed,Over-defense,16,0,0,0
9,9,2.432,1.775,0.752,1.968,2.92,2.153,intermediate,intermediate,3.15308219178082,1.93961913608918,0.615150198477289,0.215513237343242
16,11,1.147,1.376,0.958,1.16,3.566,2.301,Over-defense,intermediate,0,2.43024771838331,Inf,0.220931610762119
